Year,Size,Distance,Demand (km)
2037,S3,D3,1384988
2037,S3,D4,292856
2038,S1,D1,1254358
2038,S1,D2,3994169
2038,S1,D3,4847871
2038,S1,D4,642216
2038,S2,D1,1410693
2038,S2,D2,2151804
2038,S2,D3,1187938
2038,S2,D4,190889
2038,S4,D1,23437
2038,S4,D2,1148555
2038,S4,D3,161386
2038,S4,D4,2446
2038,S3,D1,3229278
2038,S3,D2,3297618
2038,S3,D3,1448550
2038,S3,D4,306910
